source,reference,titre,offre,type_bien,quartier,ville,prix,piece,surface,url,date_annonce,annee,trimestre,periode
coinafrique_scraped,5792089,Vente villa R+2 à  Zanguera,vendre,Villa,Baguida,Lomé,34000000.0,,,https://tg.coinafrique.com/annonce/villas/vente-villa-r2-a-zanguera-5792089,,2026,2,2026-Q2
coinafrique_scraped,5782238,Location appartement 4 chambres salon à  Agoè camp fir,louer,Appartement,Agoè,Lomé,150000.0,4.0,,https://tg.coinafrique.com/annonce/appartements/location-appartement-4-chambres-salon-a-agoe-camp-fir-5782238,,2026,2,2026-Q2
coinafrique_scraped,5796227,Terrain  4 lots -  Adidopgomé,,Terrain,Baguida,Lomé,80000000.0,,4.0,https://tg.coinafrique.com/annonce/terrains/terrain-4-lots-adidopgome-5796227,,2026,2,2026-Q2
coinafrique_scraped,5758377,Terrain 1 lot à Agoè legbassito,,Terrain,Agoè,Lomé,23000000.0,,1.0,https://tg.coinafrique.com/annonce/terrains/terrain-1-lot-a-agoe-legbassito-5758377,,2026,2,2026-Q2
coinafrique_scraped,5754910,Location résidence  à la Caisse,louer,,Baguida,Lomé,2600000.0,,,https://tg.coinafrique.com/annonce/villas/location-residence-a-la-caisse-5754910,,2026,2,2026-Q2
coinafrique_scraped,5758374,Vente villa à Assiyeye,vendre,Villa,Baguida,Lomé,45000000.0,,,https://tg.coinafrique.com/annonce/villas/vente-villa-a-assiyeye-5758374,,2026,2,2026-Q2
coinafrique_scraped,5758368,Terrain 1 lot  à Klikamé,,Terrain,Baguida,Lomé,80000000.0,,1.0,https://tg.coinafrique.com/annonce/terrains/terrain-1-lot-a-klikame-5758368,,2026,2,2026-Q2
coinafrique_scraped,5758361,Terrain 2 lots à Adetikope,,Terrain,Baguida,Lomé,25000000.0,,2.0,https://tg.coinafrique.com/annonce/terrains/terrain-2-lots-a-adetikope-5758361,,2026,2,2026-Q2
coinafrique_scraped,5758366,Vente villa  à Segbe,vendre,Villa,Baguida,Lomé,55000000.0,,,https://tg.coinafrique.com/annonce/villas/vente-villa-a-segbe-5758366,,2026,2,2026-Q2
coinafrique_scraped,5777064,Location appartement 02 pièces à Amadahome,louer,Appartement,Baguida,Lomé,85000.0,2.0,,https://tg.coinafrique.com/annonce/appartements/location-appartement-02-pieces-a-amadahome-5777064,,2026,2,2026-Q2
coinafrique_scraped,5789290,Terrain 1/2 lot - Agoè Dikamé Bernad Kopé,,Terrain,Agoè,Lomé,4500000.0,,2.0,https://tg.coinafrique.com/annonce/terrains/terrain-1-2-lot-agoe-dikame-bernad-kope-5789290,,2026,2,2026-Q2
coinafrique_scraped,5758349,Terrain 2 lots à Klikamé,,Terrain,Baguida,Lomé,50000000.0,,2.0,https://tg.coinafrique.com/annonce/terrains/terrain-2-lots-a-klikame-5758349,,2026,2,2026-Q2
coinafrique_scraped,5758352,Terrain 1 lot à Agbalepedo gta,,Terrain,Baguida,Lomé,65000000.0,,1.0,https://tg.coinafrique.com/annonce/terrains/terrain-1-lot-a-agbalepedo-gta-5758352,,2026,2,2026-Q2
coinafrique_scraped,5758358,Location villa  dans la cité Oua,louer,Villa,Baguida,Lomé,2000000000.0,,,https://tg.coinafrique.com/annonce/villas/location-villa-dans-la-cite-oua-5758358,,2026,2,2026-Q2
coinafrique_scraped,5758354,Terrain 1 lot et demi à Adidogome,,Terrain,Baguida,Lomé,47000000.0,,1.0,https://tg.coinafrique.com/annonce/terrains/terrain-1-lot-et-demi-a-adidogome-5758354,,2026,2,2026-Q2
coinafrique_scraped,5780602,Terrain 1/ 2  lot  solidement clôturé - Vakpossito Mobossa,,Terrain,Baguida,Lomé,14000000.0,,2.0,https://tg.coinafrique.com/annonce/terrains/terrain-1-2-lot-solidement-cloture-vakpossito-mobossa-5780602,,2026,2,2026-Q2
coinafrique_scraped,5758343,Terrain ½ lot à Avédji,,Terrain,Avédji,Lomé,33000000.0,,,https://tg.coinafrique.com/annonce/terrains/terrain-lot-a-avedji-5758343,,2026,2,2026-Q2
coinafrique_scraped,5780597,Vente villa duplex 6 pièces à Baguida,vendre,Villa,Baguida,Lomé,85000000.0,6.0,,https://tg.coinafrique.com/annonce/villas/vente-villa-duplex-6-pieces-a-baguida-5780597,,2026,2,2026-Q2
coinafrique_scraped,5780585,Terrain  4 lots collés à Akepé,,Terrain,Aképé,Lomé,7000000.0,,4.0,https://tg.coinafrique.com/annonce/terrains/terrain-4-lots-colles-a-akepe-5780585,,2026,2,2026-Q2
coinafrique_scraped,5780586,Terrain 2 lots - Agoè,,Terrain,Agoè,Lomé,100000000.0,,2.0,https://tg.coinafrique.com/annonce/terrains/terrain-2-lots-agoe-5780586,,2026,2,2026-Q2
coinafrique_scraped,5782558,Terrain 1/2 lot - Agoè,,Terrain,Agoè,Lomé,15000000.0,,2.0,https://tg.coinafrique.com/annonce/terrains/terrain-1-2-lot-agoe-5782558,,2026,2,2026-Q2
coinafrique_scraped,5768371,Terrain 597m² au bord du boulevard jean paul 2,,Terrain,Baguida,Lomé,160000000.0,,597.0,https://tg.coinafrique.com/annonce/terrains/terrain-597m-au-bord-du-boulevard-jean-paul-2-5768371,,2026,2,2026-Q2
coinafrique_scraped,5769990,Vente villa 3 pièces à zanguéra,vendre,Villa,Zanguéra,Lomé,55000000.0,3.0,,https://tg.coinafrique.com/annonce/villas/vente-villa-3-pieces-a-zanguera-5769990,,2026,2,2026-Q2
coinafrique_scraped,5778829,Terrain 1/2 lot -  Amadahomè pharmacie,,Terrain,Baguida,Lomé,18000000.0,,2.0,https://tg.coinafrique.com/annonce/terrains/terrain-1-2-lot-amadahome-pharmacie-5778829,,2026,2,2026-Q2
coinafrique_scraped,5780584,Terrain 3/4 lot - Lomé aneho,,Terrain,Baguida,Lomé,30000000.0,,4.0,https://tg.coinafrique.com/annonce/terrains/terrain-3-4-lot-lome-aneho-5780584,,2026,2,2026-Q2
coinafrique_scraped,5782551,Terrain 1 lot - Legbassito,,Terrain,Légbassito,Lomé,15000000.0,,1.0,https://tg.coinafrique.com/annonce/terrains/terrain-1-lot-legbassito-5782551,,2026,2,2026-Q2
