titre,type_offre,type_bien,zone,prix,pieces,surface_m2,Valeur par piece,Valeur par m2,source,raison_rejet
Location villa 5 pièces avec piscine à Forever,LOCATION,Villa,forever,1500000,5.0,80.0,300000.0,18750.0,coinafrique,zone_description_lieu
Location villa 4 pièces à Forever),LOCATION,Villa,forever,1100000,4.0,64.0,275000.0,17188.0,coinafrique,zone_description_lieu
Location villa duplex piscine 3 chambres Forever,LOCATION,Villa,forever,1100000,3.0,48.0,366667.0,22917.0,coinafrique,zone_description_lieu
Location villa 4 chambres salon + 2 dépendances à Forever,LOCATION,Villa,forever,750000,4.0,64.0,187500.0,11719.0,coinafrique,zone_description_lieu
Location villa basse 7 pièces a forever,LOCATION,Villa,forever,750000,7.0,112.0,107143.0,6696.0,coinafrique,zone_description_lieu
Location villa 6 chambres 2 salons Noukafou pas loin de la pharmacie,LOCATION,Villa,pharmacie,700000,6.0,96.0,116667.0,7292.0,coinafrique,zone_description_lieu
Location villa 2 lots avec piscine et jardin à Ablogamé Sarakawa,LOCATION,Villa,ablogame,600000,12.0,1200.0,50000.0,500.0,coinafrique,prix_m2_trop_bas
Location villa jardin de 10 chambres salon à Hedranawoé clinique,LOCATION,Villa,hedzranawoe clinique,600000,10.0,160.0,60000.0,3750.0,coinafrique,zone_description_lieu
Location villa 4 pièces - Hedranawoé à côté de l'hôtel balkan une cilla duplex de 3 chambres salon,LOCATION,Villa,hedzranawoe a cote de l hotel balkan une cilla duplex de 3 chambres salon,400000,4.0,64.0,100000.0,6250.0,coinafrique,zone_trop_longue
Location villa 4 pièces - Forever,LOCATION,Villa,forever,400000,4.0,64.0,100000.0,6250.0,coinafrique,zone_description_lieu
Location villa basse jardin 7 pièces a forever,LOCATION,Villa,forever,400000,7.0,112.0,57143.0,3571.0,coinafrique,zone_description_lieu
Location villa 5 pièces à forever 3 k au bord du goudron,LOCATION,Villa,forever,350000,5.0,80.0,70000.0,4375.0,coinafrique,zone_description_lieu
Location villa 4 pièces - Novissi,LOCATION,Villa,novissi,250000,4.0,600.0,62500.0,417.0,coinafrique,prix_m2_trop_bas
Location villa cour unique de 4 pièces à forever bar 3 k,LOCATION,Villa,forever,250000,4.0,64.0,62500.0,3906.0,coinafrique,zone_description_lieu
Location villa cour unique 3 chambres salon à Forever bar 3 k,LOCATION,Villa,forever,250000,3.0,48.0,83333.0,5208.0,coinafrique,zone_description_lieu
Location villa cour unique 3 chambresà Hedranawoé pharmacie bien etre,LOCATION,Villa,hedzranawoe pharmacie bien etre,200000,3.0,48.0,66667.0,4167.0,coinafrique,zone_trop_longue
Location villa 4 pièces - Carrefour Bruyère,LOCATION,Villa,carrefour bruyere,135000,4.0,64.0,33750.0,2109.0,coinafrique,zone_description_lieu
Location villa 4 pièces - Agoe Legbassito,LOCATION,Villa,legbassito,60000,4.0,64.0,15000.0,938.0,coinafrique,prix_m2_trop_bas
Location villas meublée de 5 pièces - lomé,LOCATION,Villa Meuble,lome,40000,5.0,80.0,8000.0,500.0,coinafrique,prix_m2_trop_bas
Location villa meublée 6 pièces - Agoe Carrefour Kpogbli,LOCATION,Villa Meuble,agoe,40000,6.0,96.0,6667.0,417.0,coinafrique,prix_m2_trop_bas
Vente entrepôt à Lomé noukafu,VENTE,Entrepot,nukafu,1700000000,,600.0,,2833333.0,coinafrique,prix_m2_trop_eleve
Vente immeuble - Pharmacie Yembla,VENTE,Immeuble,pharmacie yembla,2000000000,,600.0,,3333333.0,coinafrique,zone_description_lieu
Vente immeuble - Agoe,VENTE,Immeuble,agoe,2000000000,,600.0,,3333333.0,coinafrique,prix_m2_trop_eleve
Vente immeuble Bourd du boulevard du mono,VENTE,Immeuble,boulevard 13 jan,1900000000,,600.0,,3166667.0,coinafrique,prix_m2_trop_eleve
Terrain 1 lot à Assigame,VENTE,Terrain,assigame,1500000000,,600.0,,2500000.0,coinafrique,prix_m2_trop_eleve
Terrain agricole - Badja,VENTE,Terrain,badja,1272000000,,600.0,,2120000.0,coinafrique,prix_m2_trop_eleve
